"code", "description"
"0005","Bedding plant growers  (applies only to plants not contemplated by 0035)"
"0005","Christmas tree planting, cultivating and harvesting-"
"0005","Farm product-Christmas trees-"
"0005","Farm product-holly-"
"0005","Farm product-nursery, trees & shrubs-"
"0005","Farm product-trees-"
"0005","Farm-nursery employees  (includes incidental landscape gardening)"
"0005","Shrub cultivation-"
"0005","Sod dealer-no farming-"
"0005","Tree planting for reforestation-"
"0008","Farm product-asparagus-"
"0008","Farm product-beans, green-"
"0008","Farm product-beets, table-"
"0008","Farm product-broccoli-"
"0008","Farm product-brussels sprouts-"
"0008","Farm product-cabbage-"
"0008","Farm product-carrots-"
"0008","Farm product-cauliflower-"
"0008","Farm product-celery-"
"0008","Farm product-cucumbers-"
"0008","Farm product-horseradish-"
"0008","Farm product-kale-"
"0008","Farm product-lettuce-"
"0008","Farm product-onions, green-"
"0008","Farm product-parsnips-"
"0008","Farm product-peppers-"
"0008","Farm product-radishes-"
"0008","Farm product-rhubarb-"
"0008","Farm product-rutabagas-"
"0008","Farm product-spinach-"
"0008","Farm product-taro-"
"0008","Farm product-tomatoes-"
"0008","Farm product-turnips-"
"0008","Farm-gardening-market or truck-"
"0008","Farm-vegetable-"
"0008","Vegetable growing"
"0016","Farm product-apples-"
"0016","Farm product-apricots-"
"0016","Farm product-bananas-"
"0016","Farm product-black walnuts-"
"0016","Farm product-cherries-"
"0016","Farm product-coffee-"
"0016","Farm product-English walnuts-"
"0016","Farm product-figs-"
"0016","Farm product-filberts-"
"0016","Farm product-macadamia nuts-"
"0016","Farm product-nectarines-"
"0016","Farm product-nuts (black walnut, English walnut, filbert, etc.-tree growing)-"
"0016","Farm product-orchards-"
"0016","Farm product-papaya-"
"0016","Farm product-peaches-"
"0016","Farm product-pears-"
"0016","Farm product-plums-"
"0016","Farm product-prunes-"
"0016","Farm product-walnuts-"
"0016","Farm-orchard"
"0016","Fruit farm-"
"0016","Nut farm-"
"0016","Turpentine farm"
"0034","Apiaries-"
"0034","Aviaries-"
"0034","Bee raising-"
"0034","Chicken catchers-"
"0034","Cricket raising-"
"0034","Egg or poultry producer-"
"0034","Farm product-chickens-"
"0034","Farm product-eggs-"
"0034","Farm product-ostriches-"
"0034","Farm product-poultry-"
"0034","Farm product-turkeys-"
"0034","Farm-egg or poultry producer"
"0034","Farm-poultry or egg producers"
"0034","Hatchery-bird-"
"0034","Honey processing"
"0034","Insect raising-"
"0034","Ostrich farms-"
